fromPos,toPos,AggregateDist,03-2454_S25_L001,03-2525_S26_L001,03-2592_S27_L001,06-283016_S28_L001,06-284001_S29_L001,06-286011_S30_L001,06-2909_S23_L001,06-2950_S32_L001,06-299002_S31_L001,06-310013_S24_L001,31315_S10_L001,31316_S11_L001,31642_S12_L001,A_S9_L001,B_S10_L001,C_S11_L001,D_S12_L001,E_S13_L001,F_S14_L001,G_S15_L001,H_S16_L001,I_S17_L001,J_S18_L001,K_S19_L001,L_S20_L001,M_S21_L001,N_S22_L001,TG77198_S1_L001,TG77202_S2_L001,TG77206_S3_L001,TG77210_S16_L001,TG77214_S5_L001,TG77218_S6_L001,TG77222_S7_L001,TG77226_S8_L001
425000,430000,80,12,15,26,26,19,19,10,26,12,48,14,14,14,1,0,1,0,28,28,0,12,15,0,0,22,0,22,45,0,0,0,0,0,0,12
427500,432500,75,16,14,24,26,11,11,19,24,16,82,14,14,14,0,0,0,0,30,30,0,16,14,0,0,22,0,22,45,0,0,0,0,0,0,16
430000,435000,60,19,13,15,14,9,9,16,15,19,147,13,13,13,0,0,0,0,28,28,0,19,13,0,0,19,0,19,17,0,0,0,0,0,0,20
432500,437500,57,21,13,11,13,10,9,11,11,22,117,13,13,13,0,0,0,0,22,22,0,21,13,0,0,20,0,20,15,0,0,0,0,0,0,22
435000,440000,70,19,13,26,21,15,14,16,26,20,31,13,13,13,0,0,0,0,28,28,0,19,13,0,0,20,0,20,21,0,0,0,0,0,0,19
437500,442500,62,11,9,27,17,15,15,16,27,11,21,9,9,9,0,0,0,0,27,27,0,11,9,0,0,12,0,12,13,0,0,0,0,0,0,11
440000,445000,52,17,9,18,22,21,21,15,18,17,8,9,9,9,0,0,0,0,20,20,0,17,9,0,0,12,0,12,16,0,0,0,0,0,0,17
442500,447500,54,18,5,17,31,24,24,15,17,18,6,5,5,5,0,0,0,0,21,21,0,18,5,0,0,17,0,17,23,0,0,0,0,0,0,18
445000,450000,50,16,6,18,20,17,17,15,18,16,12,6,6,6,0,0,0,0,20,20,0,16,6,0,0,20,0,20,19,0,0,0,0,0,0,16
447500,452500,104,45,35,21,48,32,32,31,21,45,31,35,35,35,1,1,1,1,41,41,1,45,35,1,1,34,0,34,28,1,1,1,1,1,1,46
450000,455000,122,53,45,27,60,43,43,37,27,53,37,44,44,44,1,1,1,1,51,51,1,54,44,1,1,42,0,42,37,1,1,1,1,1,1,54
452500,457500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455000,460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457500,462500,51,21,18,16,20,19,19,17,15,21,18,17,17,17,0,0,0,0,22,22,0,22,17,0,0,20,0,20,19,0,0,0,0,0,0,21
460000,465000,110,51,46,41,41,27,27,47,40,52,56,46,46,46,0,0,0,0,54,54,0,51,46,0,0,58,0,58,40,0,0,0,0,0,0,51
462500,467500,131,55,54,51,50,31,31,53,51,56,60,54,54,54,0,0,0,0,59,59,0,55,54,0,0,67,0,67,41,0,0,0,0,0,0,55
465000,470000,59,16,22,21,21,15,15,13,21,16,14,21,21,21,0,0,0,0,18,18,0,16,21,0,0,22,0,22,13,0,0,0,0,0,0,15
467500,472500,72,19,33,21,22,32,32,19,21,19,20,31,31,31,0,0,0,0,26,26,0,19,31,0,0,20,0,20,18,0,0,0,0,0,0,18
470000,475000,77,18,31,22,28,35,35,25,22,18,20,30,30,30,0,0,0,0,33,33,0,18,30,0,0,20,0,20,18,0,0,0,0,0,0,18
472500,477500,68,20,20,22,22,23,23,19,22,20,20,19,19,19,0,0,0,0,29,29,0,20,19,0,0,20,0,20,26,0,0,0,0,0,0,20
475000,480000,61,24,16,25,21,17,17,27,25,24,21,15,15,15,0,0,0,0,21,21,0,24,15,0,0,21,0,21,27,0,0,0,0,0,0,24
477500,482500,61,24,16,27,20,10,10,31,27,24,18,17,17,17,0,0,0,0,20,20,0,24,16,0,0,22,0,22,28,0,0,0,0,0,0,24
480000,485000,82,22,34,37,35,10,10,26,37,22,55,34,34,34,0,0,0,0,36,36,0,22,33,0,0,24,0,24,33,0,0,0,0,0,0,22
482500,487500,58,13,28,25,31,10,10,14,25,13,71,27,27,27,0,0,0,0,26,26,0,13,27,0,0,15,0,15,18,0,0,0,0,0,0,13
485000,490000,107,36,26,41,23,27,27,19,41,36,57,26,26,26,0,0,0,0,26,26,0,36,26,0,0,47,0,47,39,0,0,0,0,0,0,36
487500,492500,221,80,74,85,83,70,70,76,85,80,89,74,74,74,0,0,0,0,83,83,0,80,74,0,0,96,0,96,98,0,0,0,0,0,0,80
490000,495000,175,69,68,58,75,64,64,76,58,69,67,68,68,68,0,0,0,0,73,73,0,69,68,0,0,67,0,67,74,0,0,0,0,0,0,69
492500,497500,115,32,21,24,51,26,26,28,24,32,20,21,21,21,0,0,0,0,35,35,0,32,21,0,0,23,0,23,54,0,0,0,0,0,0,32
495000,500000,96,23,12,22,48,14,14,15,22,23,18,12,12,12,0,0,0,0,31,31,0,23,12,0,0,21,0,21,52,0,0,0,0,0,0,23
497500,502500,69,28,15,27,25,18,18,15,27,28,22,15,15,15,0,0,0,0,21,21,0,28,15,0,0,29,0,29,24,0,0,0,0,0,0,28
500000,505000,68,20,20,29,28,26,26,26,29,20,27,20,20,20,0,0,0,0,31,31,0,20,20,0,0,26,0,26,22,0,0,0,0,0,0,20
502500,507500,84,19,26,32,29,30,30,35,32,19,29,26,26,26,0,0,0,0,44,44,0,20,26,0,0,29,0,29,32,0,0,0,0,0,0,20
505000,510000,179,57,68,63,68,57,57,48,63,57,53,68,68,68,0,0,0,0,76,76,0,58,68,0,0,55,0,55,69,0,0,0,0,0,0,58
507500,512500,254,90,86,92,109,86,86,84,92,90,89,86,86,86,0,0,0,0,99,99,0,90,86,0,0,79,0,79,108,0,0,0,0,0,0,90
510000,515000,259,100,93,119,126,110,110,103,119,99,110,94,94,94,0,0,0,0,95,95,0,100,94,0,0,98,0,98,116,0,0,0,0,0,0,99
512500,517500,235,70,113,129,122,110,110,101,129,69,96,115,115,115,0,0,0,0,89,89,0,70,115,0,0,109,0,109,95,0,0,0,0,0,0,69
515000,520000,162,34,73,72,67,62,62,67,72,34,57,74,74,74,1,2,1,2,67,67,2,34,74,2,2,74,0,74,61,2,2,2,2,2,2,34
517500,522500,88,20,30,24,23,30,30,30,24,20,23,30,30,30,1,2,1,2,41,41,2,20,30,2,2,31,0,31,30,2,2,2,2,2,2,20
520000,525000,60,12,16,23,14,26,26,19,23,12,15,16,16,16,0,0,0,0,24,24,0,12,16,0,0,19,0,19,16,0,0,0,0,0,0,12
522500,527500,80,27,23,41,19,38,38,15,41,27,33,23,23,23,0,0,0,0,29,29,0,27,23,0,0,24,0,24,22,0,0,0,0,0,0,28
525000,530000,87,27,34,44,25,38,38,31,44,27,32,33,33,33,0,0,0,0,36,36,0,27,33,0,0,29,0,29,32,0,0,0,0,0,0,28
527500,532500,68,22,30,27,23,30,30,30,27,22,22,28,28,28,0,0,0,0,29,29,0,22,28,0,0,28,0,28,28,0,0,0,0,0,0,22
530000,535000,87,35,32,32,35,47,47,22,32,35,54,30,30,30,0,0,0,0,37,37,0,36,30,0,0,43,0,43,31,0,0,0,0,0,0,35
532500,537500,158,46,49,50,48,52,52,30,50,46,70,48,48,48,0,0,0,0,65,65,0,47,48,0,0,81,0,81,56,0,0,0,0,0,0,46
535000,540000,253,38,57,70,70,56,56,29,70,39,68,58,58,58,0,0,0,0,142,142,0,39,58,0,0,140,0,140,84,0,0,0,0,0,0,38
537500,542500,243,51,58,72,76,73,73,36,72,52,76,59,59,59,0,0,0,0,131,131,0,52,59,0,0,127,0,127,70,0,0,0,0,0,0,51
540000,545000,148,64,50,48,51,62,62,52,48,64,53,49,49,49,0,0,0,0,49,49,0,64,49,0,0,60,0,60,40,0,0,0,0,0,0,64
542500,547500,107,41,39,38,31,42,42,33,38,42,39,38,38,38,0,0,0,0,42,42,0,41,38,0,0,25,0,25,38,0,0,0,0,0,0,41
545000,550000,75,23,29,32,17,27,27,15,32,24,31,29,29,29,0,0,0,0,31,31,0,23,29,0,0,10,0,10,27,0,0,0,0,0,0,23
547500,552500,51,19,23,23,15,18,18,21,23,19,22,23,23,23,0,0,0,0,21,21,0,19,23,0,0,19,0,19,18,0,0,0,0,0,0,19
550000,555000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552500,557500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555000,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557500,562500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,565000,42,14,17,20,13,14,14,16,20,14,21,17,17,17,0,0,0,0,20,20,0,15,17,0,0,15,0,15,15,0,0,0,0,0,0,15
562500,567500,48,14,21,20,13,16,16,12,20,14,19,22,22,22,0,0,0,0,25,25,0,15,22,0,0,12,0,12,12,0,0,0,0,0,0,15
565000,570000,61,24,28,24,26,24,24,27,24,25,19,29,29,29,0,0,0,0,30,30,0,24,29,0,0,22,0,22,24,0,0,0,0,0,0,24
567500,572500,77,31,37,26,36,31,31,31,26,32,24,37,37,37,0,0,0,0,37,37,0,32,37,0,0,30,0,30,41,0,0,0,0,0,0,31
570000,575000,76,27,33,23,24,30,30,24,23,27,25,33,33,33,0,0,0,0,35,35,0,28,33,0,0,25,0,25,38,0,0,0,0,0,0,27
572500,577500,62,21,19,21,16,22,22,16,21,21,21,19,19,19,0,0,0,0,21,21,0,21,20,0,0,16,0,16,23,0,0,0,0,0,0,21
575000,580000,73,35,27,25,19,25,25,15,25,35,23,27,27,27,0,0,0,0,26,26,0,35,28,0,0,19,0,19,20,0,0,0,0,0,0,35
577500,582500,71,39,27,24,11,24,24,17,24,39,17,28,28,28,0,0,0,0,24,24,0,39,28,0,0,15,0,15,21,0,0,0,0,0,0,39
580000,585000,89,36,22,24,14,22,22,20,24,36,17,23,23,23,0,0,0,0,46,46,0,36,23,0,0,14,0,14,24,0,0,0,0,0,0,36
582500,587500,138,63,26,45,47,46,46,59,45,63,38,26,26,26,0,0,0,0,75,75,0,63,26,0,0,37,0,37,47,0,0,0,0,0,0,63
585000,590000,148,58,31,59,52,60,60,80,59,58,58,30,30,30,0,0,0,0,66,66,0,58,30,0,0,55,0,55,59,0,0,0,0,0,0,58
587500,592500,174,49,56,75,58,59,59,72,75,49,69,55,55,55,0,0,0,0,64,64,0,49,55,0,0,62,0,62,52,0,0,0,0,0,0,49
590000,595000,147,43,44,76,47,54,54,47,76,43,49,44,44,44,0,0,0,0,40,40,0,43,44,0,0,42,0,42,45,0,0,0,0,0,0,43
592500,597500,83,28,17,48,12,39,39,21,48,28,20,18,18,18,0,0,0,0,20,20,0,28,18,0,0,14,0,14,43,0,0,0,0,0,0,28
595000,600000,89,29,25,42,17,29,29,24,43,29,26,26,26,26,0,0,0,0,39,39,0,29,26,0,0,20,0,20,40,0,0,0,0,0,0,29
597500,602500,83,25,25,34,26,28,28,24,35,25,35,25,25,25,0,0,0,0,40,40,0,25,25,0,0,28,0,28,29,0,0,0,0,0,0,25
600000,605000,82,26,29,19,25,28,28,19,19,26,30,28,28,28,0,0,0,0,32,32,0,26,28,0,0,32,0,32,30,0,0,0,0,0,0,26
602500,607500,108,20,24,18,23,25,25,18,18,20,16,23,23,23,0,0,0,0,46,46,0,21,23,0,0,34,0,34,30,0,0,0,0,0,0,21
605000,610000,97,22,16,24,25,26,26,26,24,22,12,16,16,16,0,0,0,0,38,38,0,23,16,0,0,25,0,25,28,0,0,0,0,0,0,23
607500,612500,63,25,12,21,19,19,19,22,21,25,14,12,12,12,0,0,0,0,17,17,0,25,12,0,0,17,0,17,22,0,0,0,0,0,0,25
610000,615000,39,17,6,13,11,11,11,13,13,17,9,6,6,6,0,0,0,0,12,12,0,17,6,0,0,15,0,15,13,0,0,0,0,0,0,17
612500,617500,35,13,12,9,13,10,10,12,9,12,7,13,13,13,0,0,0,0,10,10,0,12,13,0,0,18,0,18,10,0,0,0,0,0,0,12
615000,620000,49,16,15,14,22,12,12,14,14,16,8,16,16,16,0,0,0,0,20,20,0,15,16,0,0,22,0,22,16,0,0,0,0,0,0,16
617500,622500,48,18,14,20,17,16,16,14,20,19,10,14,14,14,0,0,0,0,23,23,0,18,14,0,0,19,0,19,24,0,0,0,0,0,0,19
620000,625000,57,23,24,22,14,18,18,16,22,23,16,24,24,24,0,0,0,0,27,27,0,23,24,0,0,19,0,19,27,0,0,0,0,0,0,23
622500,627500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625000,630000,55,17,23,19,17,14,14,15,19,17,15,23,23,23,0,0,0,0,22,22,0,17,23,0,0,20,0,20,19,0,0,0,0,0,0,17
627500,632500,40,8,16,16,10,11,11,11,16,8,8,16,16,16,0,0,0,0,10,10,0,8,16,0,0,13,0,13,13,0,0,0,0,0,0,8
630000,635000,80,35,26,31,23,27,27,52,31,35,25,26,26,26,0,0,0,0,26,26,0,35,26,0,0,25,0,25,30,0,0,0,0,0,0,35
632500,637500,105,47,36,37,41,34,34,67,37,47,36,37,37,37,0,0,0,0,42,42,0,47,36,0,0,37,0,37,32,0,0,0,0,0,0,47
635000,640000,79,33,27,29,35,25,25,33,29,33,28,27,27,27,0,0,0,0,31,31,0,33,27,0,0,33,0,33,9,0,0,0,0,0,0,33
637500,642500,66,28,24,26,24,25,25,19,26,28,24,22,22,22,0,0,0,0,25,25,0,28,23,0,0,23,0,23,0,0,0,0,0,0,0,28
640000,645000,64,25,23,18,19,17,17,19,18,25,17,22,22,22,0,0,0,0,30,30,0,25,22,0,0,15,0,15,2,0,0,0,0,0,0,25
642500,647500,106,47,25,14,44,11,11,55,14,47,25,25,25,25,0,0,0,0,74,74,0,47,25,0,0,42,0,42,8,0,0,0,0,0,0,47
645000,650000,90,39,19,10,37,9,9,50,11,39,24,19,19,19,0,0,0,0,70,70,0,39,19,0,0,39,0,39,11,0,0,0,0,0,0,39
647500,652500,43,18,15,13,15,10,10,20,14,18,21,15,15,15,0,0,0,0,20,20,0,18,15,0,0,19,0,19,6,0,0,0,0,0,0,18
650000,655000,60,27,26,24,23,19,19,22,24,27,24,26,26,26,0,0,0,0,20,20,0,28,26,0,0,24,0,24,14,0,0,0,0,0,0,27
652500,657500,70,27,22,20,15,21,21,16,20,27,15,22,22,22,0,0,0,0,23,23,0,28,22,0,0,24,0,24,23,0,0,0,0,0,0,27
655000,660000,69,28,22,12,22,23,23,20,12,28,24,22,22,22,0,0,0,0,23,23,0,28,22,0,0,32,0,32,26,0,0,0,0,0,0,28
657500,662500,59,29,19,20,29,23,23,23,20,29,28,19,19,19,0,0,0,0,27,27,0,29,19,0,0,30,0,30,29,0,0,0,0,0,0,29
660000,665000,74,24,15,33,24,25,25,22,33,24,31,15,15,15,0,0,0,0,33,33,0,24,15,0,0,25,0,25,31,0,0,0,0,0,0,24
662500,667500,122,32,33,29,24,55,55,33,29,32,47,33,33,33,0,0,0,0,61,61,0,32,33,0,0,36,0,36,28,0,0,0,0,0,0,32
665000,670000,111,28,54,16,18,66,66,54,16,28,32,54,54,54,0,0,0,0,76,76,0,28,54,0,0,52,0,52,16,0,0,0,0,0,0,28
667500,672500,77,23,45,22,58,35,35,49,22,23,18,45,45,45,0,0,0,0,46,46,0,23,45,0,0,43,0,43,24,0,0,0,0,0,0,23
670000,675000,108,27,55,21,62,32,31,21,21,27,18,55,55,55,0,0,0,0,44,44,0,27,55,0,0,53,0,53,22,0,0,0,0,0,0,27
672500,677500,141,46,72,32,34,50,49,40,32,46,29,72,72,72,0,0,0,0,70,70,0,46,72,0,0,71,0,71,26,0,0,0,0,0,0,46
675000,680000,114,61,55,50,43,41,41,51,50,61,45,55,55,55,0,0,0,0,65,65,0,61,55,0,0,56,0,56,41,0,0,0,0,0,0,61
677500,682500,115,54,58,54,51,49,49,65,54,55,41,58,58,58,0,0,0,0,66,66,0,54,58,0,0,66,0,66,51,0,0,0,0,0,0,54
680000,685000,155,48,82,46,76,50,50,72,46,49,35,83,83,83,0,0,0,0,61,61,0,48,83,0,0,63,0,63,77,0,0,0,0,0,0,48
682500,687500,122,27,66,28,60,33,33,44,28,27,30,67,67,67,0,0,0,0,40,40,0,27,67,0,0,41,0,41,60,0,0,0,0,0,0,27
685000,690000,77,18,33,26,31,27,27,30,26,18,24,33,33,33,0,0,0,0,34,34,0,18,33,0,0,34,0,34,30,0,0,0,0,0,0,18
687500,692500,91,42,31,43,36,19,19,16,43,42,16,31,31,31,0,0,0,0,29,29,0,43,31,0,0,29,0,29,30,0,0,0,0,0,0,43
690000,695000,89,48,38,48,36,24,24,25,48,48,20,37,37,37,0,0,0,0,27,27,0,49,37,0,0,31,0,31,32,0,0,0,0,0,0,49
692500,697500,69,28,34,30,22,30,30,25,30,28,24,32,32,32,0,0,0,0,23,23,0,28,32,0,0,29,0,29,24,0,0,0,0,0,0,28
695000,700000,85,26,21,28,38,22,22,18,28,26,45,20,20,20,1,0,1,0,35,35,0,26,20,0,0,16,0,16,22,0,0,0,0,0,0,26
697500,702500,86,19,22,21,43,23,23,25,21,19,46,22,22,22,1,0,1,0,41,41,0,19,22,0,0,19,0,19,26,0,0,0,0,0,0,19
700000,705000,109,5,41,5,42,66,66,55,5,4,48,40,40,40,0,0,0,0,60,60,0,4,40,0,0,33,0,33,48,0,0,0,0,0,0,4
702500,707500,133,4,43,3,47,85,85,80,2,3,55,42,42,42,0,0,0,0,72,72,0,3,42,0,0,28,0,28,53,0,0,0,0,0,0,3
705000,710000,94,13,24,4,28,46,46,49,3,12,30,24,24,24,0,0,0,0,38,38,0,12,24,0,0,17,0,17,22,0,0,0,0,0,0,12
707500,712500,111,24,36,30,20,45,45,40,30,23,19,36,36,36,0,0,0,0,60,60,0,23,36,0,0,40,0,40,32,0,0,0,0,0,0,23
710000,715000,150,32,52,71,31,74,74,53,71,32,30,52,52,52,0,0,0,0,67,67,0,32,52,0,0,65,0,65,55,0,0,0,0,0,0,32
712500,717500,118,31,37,57,36,66,66,38,57,31,35,38,38,38,0,0,0,0,35,35,0,31,38,0,0,51,0,51,45,0,0,0,0,0,0,31
715000,720000,143,47,64,72,31,49,49,23,72,47,50,67,67,67,0,0,0,0,72,72,0,47,67,0,0,93,0,93,73,0,0,0,0,0,0,47
717500,722500,173,59,79,77,46,45,45,41,77,59,57,81,81,81,0,0,0,0,82,82,0,59,81,0,0,95,0,95,86,0,0,0,0,0,0,59
720000,725000,101,30,35,25,38,29,29,40,25,30,29,35,35,35,0,1,0,1,31,31,1,30,35,1,1,29,0,29,34,1,1,1,1,1,1,30
722500,727500,68,8,20,18,25,24,24,11,18,9,25,19,19,19,0,1,0,1,17,17,1,8,19,1,1,20,0,20,15,1,1,1,1,1,1,8
725000,730000,94,11,34,31,39,35,35,8,31,13,39,33,33,33,0,0,0,0,37,37,0,11,33,0,0,21,0,21,30,0,0,0,0,0,0,11
727500,732500,102,27,39,38,34,35,35,6,38,28,36,38,38,38,0,0,0,0,40,40,0,27,38,0,0,30,0,30,39,0,0,0,0,0,0,27
730000,735000,94,40,37,49,30,32,32,6,49,40,30,37,37,37,0,0,0,0,35,35,0,40,36,0,0,41,0,41,40,0,0,0,0,0,0,40
732500,737500,73,32,29,37,27,24,24,12,37,32,24,30,30,30,0,0,0,0,32,32,0,32,29,0,0,30,0,30,27,0,0,0,0,0,0,32
735000,740000,71,29,14,15,19,19,19,16,15,29,22,15,15,15,0,0,0,0,31,31,0,29,15,0,0,22,0,22,14,0,0,0,0,0,0,29
737500,742500,106,37,22,25,32,38,38,21,25,37,34,24,24,24,0,0,0,0,34,34,0,37,24,0,0,30,0,30,15,0,0,0,0,0,0,37
740000,745000,132,33,46,35,62,66,66,45,35,33,49,47,47,47,0,0,0,0,43,43,0,33,47,0,0,34,0,34,23,0,0,0,0,0,0,33
742500,747500,122,24,47,30,56,63,63,49,31,24,40,47,47,47,0,0,0,0,37,37,0,24,47,0,0,34,0,34,31,0,0,0,0,0,0,24
745000,750000,124,52,59,55,57,68,68,42,56,52,46,59,59,59,0,0,0,0,51,51,0,52,59,0,0,32,0,32,57,0,0,0,0,0,0,52
747500,752500,121,63,61,67,63,64,64,50,67,63,57,61,61,61,0,0,0,0,57,57,0,63,61,0,0,33,0,33,63,0,0,0,0,0,0,63
750000,755000,89,32,44,35,38,31,31,39,35,32,37,44,44,44,0,0,0,0,31,31,0,32,44,0,0,28,0,28,33,0,0,0,0,0,0,32
752500,757500,155,65,44,43,50,43,43,39,43,65,36,44,44,44,0,0,0,0,36,36,0,65,44,0,0,30,0,30,33,0,0,0,0,0,0,65
755000,760000,163,61,31,40,47,47,47,31,40,61,27,32,32,32,0,0,0,0,43,43,0,61,31,0,0,37,0,37,29,0,0,0,0,0,0,61
757500,762500,94,33,28,19,37,29,29,28,19,33,34,30,30,30,0,0,0,0,38,38,0,33,29,0,0,34,0,34,27,0,0,0,0,0,0,33
760000,765000,90,29,48,36,32,28,28,21,36,29,60,49,49,49,0,0,0,0,29,29,0,29,49,0,0,28,0,28,19,0,0,0,0,0,0,29
762500,767500,46,4,32,25,10,15,15,1,25,4,38,32,32,32,0,0,0,0,14,14,0,4,32,0,0,12,0,12,1,0,0,0,0,0,0,4
765000,770000,133,29,82,19,25,55,55,20,19,29,133,82,82,82,0,0,0,0,37,37,0,29,82,0,0,24,0,24,23,0,0,0,0,0,0,29
767500,772500,168,40,87,24,34,66,66,27,24,40,142,87,87,87,1,1,1,1,52,52,1,40,87,1,1,36,1,36,32,1,1,1,1,1,1,40
770000,775000,98,32,31,27,42,41,41,37,27,33,40,30,30,30,1,1,1,1,44,44,1,32,30,1,1,33,1,33,31,1,1,1,1,1,1,32
772500,777500,168,50,52,58,64,68,68,76,58,51,66,51,51,51,0,0,0,0,67,67,0,50,51,0,0,72,0,72,47,0,0,0,0,1,0,50
775000,780000,114,32,28,38,33,40,40,48,38,32,43,28,28,28,0,0,0,0,43,43,0,32,28,0,0,55,0,55,27,0,0,0,0,1,0,32
777500,782500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780000,785000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782500,787500,118,46,49,45,51,44,44,48,45,46,49,49,49,49,0,0,0,0,43,43,0,46,49,0,0,49,0,49,43,0,0,0,0,0,0,46
785000,790000,221,86,75,82,88,79,79,82,82,86,66,75,75,75,0,0,0,0,85,85,0,86,75,0,0,90,0,90,65,0,0,0,0,0,0,86
787500,792500,189,58,57,58,69,72,72,58,58,58,55,57,57,57,0,0,0,0,70,70,0,58,57,0,0,72,0,72,56,0,0,0,0,0,0,58
790000,795000,125,29,47,36,52,54,54,35,36,29,50,46,46,46,0,0,0,0,49,49,0,29,46,0,0,45,0,45,50,0,0,0,0,0,0,29
792500,797500,91,25,34,38,45,42,42,31,38,25,35,33,33,33,0,0,0,0,40,40,0,25,33,0,0,39,0,39,32,0,0,0,0,0,0,25
795000,800000,114,20,25,44,32,31,31,32,44,20,32,24,24,24,0,0,0,0,47,47,0,20,24,0,0,54,0,54,36,0,0,0,0,0,0,20
797500,802500,198,31,38,48,46,55,55,36,48,31,36,30,30,30,0,0,0,0,93,93,0,31,30,0,0,68,0,68,55,0,0,0,0,0,0,31
800000,805000,204,50,52,49,63,72,72,43,49,50,50,68,68,68,0,0,0,0,84,84,0,50,68,0,0,58,0,58,61,0,0,0,0,0,0,50
802500,807500,148,43,62,63,64,64,64,55,63,43,63,85,85,85,0,0,0,0,60,60,0,43,85,0,0,64,0,64,59,0,0,0,0,0,0,43
805000,810000,128,39,54,63,57,57,57,58,63,40,59,68,68,68,0,0,0,0,60,60,0,39,68,0,0,63,0,63,56,0,0,0,0,0,0,39
807500,812500,106,39,35,43,35,32,32,38,43,40,32,46,46,46,0,0,0,0,38,38,0,39,45,0,0,35,0,35,52,0,0,0,0,0,0,39
810000,815000,97,36,40,36,34,33,33,32,36,36,11,37,37,37,0,0,0,0,35,35,0,36,36,0,0,32,0,32,54,0,0,0,0,0,0,36
812500,817500,119,31,28,31,25,39,39,28,31,31,8,28,28,28,0,0,0,0,72,72,0,31,28,0,0,38,0,38,37,0,0,0,0,0,0,31
815000,820000,100,18,11,21,13,35,35,15,21,18,8,11,11,11,0,0,0,0,66,66,0,18,11,0,0,26,0,26,15,0,0,0,0,0,0,18
817500,822500,64,12,22,27,7,37,37,13,27,12,9,23,23,23,0,0,0,0,21,21,0,12,23,0,0,17,0,17,22,0,0,0,0,0,0,12
820000,825000,64,15,29,30,17,36,36,22,30,15,17,31,31,31,0,0,0,0,17,17,0,15,31,0,0,22,0,22,27,0,0,0,0,0,0,15
822500,827500,53,20,18,21,20,20,20,21,21,20,14,19,19,19,0,0,0,0,18,18,0,20,19,0,0,19,0,19,19,0,0,0,0,0,0,20
825000,830000,45,15,16,20,15,16,16,14,20,15,9,16,16,16,0,0,0,0,20,20,0,15,16,0,0,15,0,15,17,0,0,0,0,0,0,15
827500,832500,34,7,11,12,15,13,13,13,12,7,12,11,11,11,0,0,0,0,16,16,0,7,11,0,0,17,0,17,10,0,0,0,0,0,0,7
830000,835000,46,9,17,16,15,13,13,17,16,9,18,17,17,17,0,0,0,0,18,18,0,9,17,0,0,19,0,19,13,0,0,0,0,0,0,9
832500,837500,129,33,62,67,41,46,46,42,67,33,41,62,62,62,0,0,0,0,66,66,0,33,62,0,0,72,0,72,55,0,0,0,0,0,0,33
835000,840000,201,40,103,97,59,66,66,64,97,40,53,103,103,103,0,0,0,0,72,72,0,40,103,0,0,109,0,109,55,0,0,0,0,0,0,41
837500,842500,189,18,105,61,51,48,48,53,61,18,61,105,105,105,0,0,0,0,53,53,0,18,105,0,0,64,0,64,26,0,0,0,0,0,0,19
840000,845000,134,18,77,44,51,41,41,52,44,18,57,77,77,77,0,0,0,0,55,55,0,18,77,0,0,37,0,37,48,0,0,0,0,0,0,18
842500,847500,84,21,40,39,40,26,26,38,39,21,24,40,40,40,0,0,0,0,33,33,0,21,40,0,0,29,0,29,43,0,0,0,0,0,0,22
845000,850000,98,16,33,39,30,21,21,32,39,16,39,33,33,33,0,0,0,0,26,26,0,16,33,0,0,32,0,32,36,0,0,0,0,0,0,17
847500,852500,125,23,38,43,51,52,52,50,43,23,68,39,39,39,0,0,0,0,34,34,0,23,39,0,0,53,0,53,49,0,0,0,0,0,0,23
850000,855000,98,24,32,36,50,53,53,33,36,24,49,33,33,33,0,0,0,0,25,25,0,24,33,0,0,37,0,37,43,0,0,0,0,0,0,24
852500,857500,71,24,20,29,25,29,29,19,29,24,20,21,21,21,0,0,0,0,20,20,0,24,20,0,0,19,0,19,27,0,0,0,0,0,0,24
855000,860000,60,23,15,20,17,22,22,20,20,23,18,16,16,16,0,0,0,0,24,24,0,23,15,0,0,21,0,21,17,0,0,0,0,0,0,23
857500,862500,70,23,23,29,25,27,27,14,29,23,32,23,23,23,0,0,0,0,30,30,0,23,23,0,0,27,0,27,31,0,0,0,0,0,0,23
